primary_industry_id,name,url
2,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",http://careerwise.minnstate.edu/careers/careerDetail?oc=499021
2,"Helpers--Installation, Maintenance, and Repair Workers",http://careerwise.minnstate.edu/careers/careerDetail?oc=499098
2,Highway Maintenance Workers,http://careerwise.minnstate.edu/careers/careerDetail?oc=474051
2,Hoist and Winch Operators,http://careerwise.minnstate.edu/careers/careerDetail?oc=537041
2,"Insulation Workers, Floor, Ceiling, and Wall",http://careerwise.minnstate.edu/careers/careerDetail?oc=472131
2,"Insulation Workers, Mechanical",http://careerwise.minnstate.edu/careers/careerDetail?oc=472132
2,Interior Designers,http://careerwise.minnstate.edu/careers/careerDetail?oc=271025
2,Landscape Architects,http://careerwise.minnstate.edu/careers/careerDetail?oc=171012
2,Landscaping and Groundskeeping Workers,http://careerwise.minnstate.edu/careers/careerDetail?oc=373011
2,"Loading Machine Operators, Underground Mining",http://careerwise.minnstate.edu/careers/careerDetail?oc=537033
2,Manufactured Building and Mobile Home Installers,http://careerwise.minnstate.edu/careers/careerDetail?oc=499095
2,Mechanical Door Repairers,http://careerwise.minnstate.edu/careers/careerDetail?oc=499011
2,Millwrights,http://careerwise.minnstate.edu/careers/careerDetail?oc=499044
2,Mine Cutting and Channeling Machine Operators,http://careerwise.minnstate.edu/careers/careerDetail?oc=475042
2,"Mining Machine Operators, All Other",http://careerwise.minnstate.edu/careers/careerDetail?oc=475049
2,Operating Engineers and Other Construction Equipment Operators,http://careerwise.minnstate.edu/careers/careerDetail?oc=472073
2,"Painters, Construction and Maintenance",http://careerwise.minnstate.edu/careers/careerDetail?oc=472141
2,Paperhangers,http://careerwise.minnstate.edu/careers/careerDetail?oc=472142
2,"Paving, Surfacing, and Tamping Equipment Operators",http://careerwise.minnstate.edu/careers/careerDetail?oc=472071
2,Pile-Driver Operators,http://careerwise.minnstate.edu/careers/careerDetail?oc=472072
2,Pipelayers,http://careerwise.minnstate.edu/careers/careerDetail?oc=472151
2,Plasterers and Stucco Masons,http://careerwise.minnstate.edu/careers/careerDetail?oc=472161
2,"Plumbers, Pipefitters, and Steamfitters",http://careerwise.minnstate.edu/careers/careerDetail?oc=472152
2,"Refractory Materials Repairers, Except Brickmasons",http://careerwise.minnstate.edu/careers/careerDetail?oc=499045
2,Reinforcing Iron and Rebar Workers,http://careerwise.minnstate.edu/careers/careerDetail?oc=472171
2,Riggers,http://careerwise.minnstate.edu/careers/careerDetail?oc=499096
2,"Rock Splitters, Quarry",http://careerwise.minnstate.edu/careers/careerDetail?oc=475051
2,"Roof Bolters, Mining",http://careerwise.minnstate.edu/careers/careerDetail?oc=475061
2,Roofers,http://careerwise.minnstate.edu/careers/careerDetail?oc=472181
2,"Rotary Drill Operators, Oil and Gas",http://careerwise.minnstate.edu/careers/careerDetail?oc=475012
2,"Roustabouts, Oil and Gas",http://careerwise.minnstate.edu/careers/careerDetail?oc=475071
2,Segmental Pavers,http://careerwise.minnstate.edu/careers/careerDetail?oc=474091
2,Septic Tank Servicers and Sewer Pipe Cleaners,http://careerwise.minnstate.edu/careers/careerDetail?oc=474071
2,"Service Unit Operators, Oil, Gas, and Mining",http://careerwise.minnstate.edu/careers/careerDetail?oc=475013
2,Sheet Metal Workers,http://careerwise.minnstate.edu/careers/careerDetail?oc=472211
2,Solar Photovoltaic Installers,http://careerwise.minnstate.edu/careers/careerDetail?oc=472231
2,Stationary Engineers and Boiler Operators,http://careerwise.minnstate.edu/careers/careerDetail?oc=518021
2,Stonemasons,http://careerwise.minnstate.edu/careers/careerDetail?oc=472022
2,Structural Iron and Steel Workers,http://careerwise.minnstate.edu/careers/careerDetail?oc=472221
2,Structural Metal Fabricators and Fitters,http://careerwise.minnstate.edu/careers/careerDetail?oc=512041
2,Surveying and Mapping Technicians,http://careerwise.minnstate.edu/careers/careerDetail?oc=173031
2,Surveyors,http://careerwise.minnstate.edu/careers/careerDetail?oc=171022
2,Tapers,http://careerwise.minnstate.edu/careers/careerDetail?oc=472082
2,Terrazzo Workers and Finishers,http://careerwise.minnstate.edu/careers/careerDetail?oc=472053
2,Tile and Marble Setters,http://careerwise.minnstate.edu/careers/careerDetail?oc=472044
3,Actors,http://careerwise.minnstate.edu/careers/careerDetail?oc=272011
3,"Agents and Business Managers of Artists, Performers, and Athletes",http://careerwise.minnstate.edu/careers/careerDetail?oc=131011
3,Art Directors,http://careerwise.minnstate.edu/careers/careerDetail?oc=271011
3,"Artists and Related Workers, All Other",http://careerwise.minnstate.edu/careers/careerDetail?oc=271019
3,Audio and Video Equipment Technicians,http://careerwise.minnstate.edu/careers/careerDetail?oc=274011
3,Broadcast News Analysts,http://careerwise.minnstate.edu/careers/careerDetail?oc=273021
3,Broadcast Technicians,http://careerwise.minnstate.edu/careers/careerDetail?oc=274012
3,"Camera Operators, Television, Video, and Motion Picture",http://careerwise.minnstate.edu/careers/careerDetail?oc=274031
3,Choreographers,http://careerwise.minnstate.edu/careers/careerDetail?oc=272032
3,Commercial and Industrial Designers,http://careerwise.minnstate.edu/careers/careerDetail?oc=271021
3,Costume Attendants,http://careerwise.minnstate.edu/careers/careerDetail?oc=393092
3,Craft Artists,http://careerwise.minnstate.edu/careers/careerDetail?oc=271012
3,Dancers,http://careerwise.minnstate.edu/careers/careerDetail?oc=272031
3,"Designers, All Other",http://careerwise.minnstate.edu/careers/careerDetail?oc=271029
3,Desktop Publishers,http://careerwise.minnstate.edu/careers/careerDetail?oc=439031
3,Editors,http://careerwise.minnstate.edu/careers/careerDetail?oc=273041
3,"Entertainers and Performers, Sports and Related Workers, All Other",http://careerwise.minnstate.edu/careers/careerDetail?oc=272099
3,Fashion Designers,http://careerwise.minnstate.edu/careers/careerDetail?oc=271022
3,Film and Video Editors,http://careerwise.minnstate.edu/careers/careerDetail?oc=274032
3,"Fine Artists, Including Painters, Sculptors, and Illustrators",http://careerwise.minnstate.edu/careers/careerDetail?oc=271013
3,Floral Designers,http://careerwise.minnstate.edu/careers/careerDetail?oc=271023
3,Graphic Designers,http://careerwise.minnstate.edu/careers/careerDetail?oc=271024
